audio	n_frames	sr	src_text	vtgttxt
common_voice_en_560574.mp3	63360	48000	JOIN THE CLUB	v11600
common_voice_en_553632.mp3	63360	48000	WHAT'S THE MATTER WITH HIM	v54
common_voice_en_9331.mp3	63360	48000	WAIT A MINUTE	v10479
common_voice_en_511623.mp3	63360	48000	I HAVE A PET SPIDER	v30175
common_voice_en_652316.mp3	63360	48000	WHY DIDN'T THEY WAKE ME	v31829
common_voice_en_586855.mp3	63360	48000	IS IT CHILLIER HERE	v3252
common_voice_en_74391.mp3	64512	48000	WHAT'S FOR DINNER TONIGHT	v31067
common_voice_en_207103.mp3	64512	48000	IN A PICKLE	v25149
common_voice_en_652236.mp3	64512	48000	FULL CIRCLE	v11626
common_voice_en_17690113.mp3	64512	48000	HAVE I OFFENDED YOU	v10173
common_voice_en_122062.mp3	64512	48000	ALL THE BEST	v126
common_voice_en_17570924.mp3	65664	48000	BETWEEN THEIR TEETH	v2420
common_voice_en_121928.mp3	65664	48000	AND UP A DIME	v7363
common_voice_en_657796.mp3	66816	48000	KEEP HIM IN HERE	v2762
common_voice_en_557958.mp3	66816	48000	I THINK IT IS	v23866
common_voice_en_577524.mp3	66816	48000	CAN I HELP YOU	v17594
common_voice_en_209382.mp3	66816	48000	NOW LISTEN TO ME	v4970
common_voice_en_510764.mp3	66816	48000	PEOPLE WALKING	v5497
common_voice_en_551130.mp3	66816	48000	CATCH A COLD	v25650
common_voice_en_676828.mp3	66816	48000	BUT WHO ASKED HIM	v26346
common_voice_en_676857.mp3	66816	48000	IS IT A GOOD JOB	v29661
common_voice_en_141277.mp3	66816	48000	BUT WHO ASKED HIM	v24764
common_voice_en_141325.mp3	66816	48000	CAN I HELP YOU	v19119
common_voice_en_17383974.mp3	66816	48000	SHE DID NOT ANSWER	v27810
common_voice_en_646223.mp3	66816	48000	IT TAKES TIME OF COURSE	v19212
common_voice_en_560247.mp3	67968	48000	THE ONE IN THERE	v30616
common_voice_en_121816.mp3	67968	48000	THAT'S WHAT I MEAN	v17136
common_voice_en_58011.mp3	67968	48000	YOU'RE FAR TOO VALUABLE	v14912
common_voice_en_665708.mp3	69120	48000	HOW ABOUT THAT CHECK	v31861
common_voice_en_17724246.mp3	69120	48000	MONEY MAKES THE MARE TO GO	v9280
common_voice_en_17760561.mp3	69120	48000	SO FAR SO GOOD	v30500
common_voice_en_552062.mp3	69120	48000	IN MY HEART OF HEARTS	v10693
common_voice_en_79988.mp3	69120	48000	WHAT ELSE ARE YOU	v9334
common_voice_en_610152.mp3	69120	48000	I CAN SEE THAT	v8211
common_voice_en_513892.mp3	69120	48000	MAYBE THE WATER WAS TOO HOT	v8100
common_voice_en_652033.mp3	69120	48000	BUT A LOVELY CHAP	v8396
common_voice_en_17733774.mp3	69120	48000	IT WAS TOO LATE	v11463
common_voice_en_18261292.mp3	69120	48000	THE CLOTHES WERE TORN	v6399
common_voice_en_51193.mp3	69120	48000	YOU THINK YOU DID	v777
common_voice_en_174905.mp3	70272	48000	I'LL CALL THE POLICE	v23089
common_voice_en_78341.mp3	70272	48000	JUST STEP ON IT	v16573
common_voice_en_652062.mp3	70272	48000	I'M ON THE JOB	v903
common_voice_en_121732.mp3	70272	48000	WHERE DO YOU COME FROM	v25509
common_voice_en_50119.mp3	70272	48000	JOIN THE CLUB	v23936
common_voice_en_158533.mp3	71424	48000	NOW YOU GOT ME	v3666
common_voice_en_165601.mp3	71424	48000	DON'T MIND THE COLONEL	v16608
common_voice_en_12501.mp3	71424	48000	WILL IT SNOW IN GRANBURY	v8762
common_voice_en_50786.mp3	71424	48000	NEVER GIVE UP	v8636
common_voice_en_51196.mp3	71424	48000	TRY IT AGAIN	v22105
common_voice_en_618338.mp3	72576	48000	WHAT DO THEY WANT	v1644
common_voice_en_212176.mp3	72576	48000	DO YOU KNOW AHMED	v2214
common_voice_en_52902.mp3	72576	48000	NEVER GIVE UP	v18998
common_voice_en_112667.mp3	72576	48000	KEEP HIM IN HERE	v26408
common_voice_en_184932.mp3	72576	48000	WHEN DID YOU GET BACK	v21333
common_voice_en_74396.mp3	72576	48000	GOT TO GET SOME PRACTICE	v14040
common_voice_en_513869.mp3	72576	48000	BECAUSE I DON'T LOVE HIM	v12852
common_voice_en_18401.mp3	72576	48000	A BOY SURFS	v19181
common_voice_en_649393.mp3	72576	48000	BEGGAR ALL DESCRIPTION	v31177
common_voice_en_649517.mp3	72576	48000	'TIS HIGH TIME	v27764
common_voice_en_17385218.mp3	72576	48000	SO FAR SO GOOD	v18275
common_voice_en_662135.mp3	72576	48000	THEY'LL BELIEVE HIM	v7689
common_voice_en_662147.mp3	72576	48000	ALL THE BEST	v25496
common_voice_en_121103.mp3	72576	48000	CAN I HELP YOU	v28968
common_voice_en_78413.mp3	72576	48000	I FEEL SO GOOD I COULD SPIT	v17023
common_voice_en_650586.mp3	72576	48000	HEY FOXY	v940
common_voice_en_559527.mp3	72576	48000	I DID NOT KNOW	v4301
common_voice_en_559533.mp3	72576	48000	HIGH VOLTAGE	v25419
common_voice_en_673856.mp3	72576	48000	I'M SURE YOU HAVEN'T ANY	v12403
common_voice_en_17279690.mp3	72576	48000	CAPITAL TOWN	v10700
common_voice_en_17684941.mp3	72576	48000	WHAT DID YOU THINK	v26197
